Date,Open,High,Low,Close,Adj Close,Volume
2023/5/2,28.68,28.836,28.083,28.209999,28.198637,402730000
2023/5/3,27.84,28.367001,27.472,27.802,27.790802,383387000
2023/5/4,27.650999,27.858999,27.24,27.562,27.5509,321850000
2023/5/5,27.826,28.754999,27.731001,28.68,28.668447,361494000
2023/5/8,28.521999,29.219999,28.35,29.150999,29.139259,344979000
2023/5/9,28.899,28.973,28.450001,28.570999,28.559492,314869000
2023/5/10,29.004999,29.113001,28.461,28.885,28.873367,369350000
2023/5/11,28.896,28.950001,28.246,28.577999,28.566488,322149000
2023/5/12,28.528999,28.780001,28.046,28.34,28.328587,274222000
2023/5/15,28.507999,28.969,28.152,28.952999,28.941339,293926000
2023/5/16,28.841,29.870001,28.832001,29.212999,29.201233,449405000
2023/5/17,29.584,30.198999,29.43,30.177999,30.165846,432535000
2023/5/18,30.41,31.827999,30.32,31.677999,31.665241,748725000
2023/5/19,31.535999,31.58,30.916,31.264,31.251408,473908000
2023/5/22,30.900999,31.52,30.68,31.176001,31.163445,372000000
2023/5/23,31,31.288,30.631001,30.688,30.67564,356253000
2023/5/24,30.209999,30.607,29.806,30.538,30.525702,721419000
2023/5/25,38.522999,39.48,36.634998,37.98,37.964703,1543911000
2023/5/26,37.889999,39.169998,37.549999,38.945999,38.930317,714397000
2023/5/30,40.595001,41.938,39.949001,40.111,40.094845,923401000
2023/5/31,39.487999,40.294998,37.821999,37.834,37.81876,1002580000
2023/6/1,38.488998,40.049999,38.34,39.77,39.753983,635873000
2023/6/2,40.097,40.5,39.057999,39.327,39.311161,482731000
2023/6/5,38.909,39.564999,38.707001,39.171001,39.155228,396094000
2023/6/6,38.830002,39.16,38.147999,38.653999,38.638432,388729000
2023/6/7,38.915001,39.499001,37.355999,37.474998,37.463783,511998000
2023/6/8,37.723999,38.863998,37.505001,38.509998,38.498474,417772000
2023/6/9,39.036999,39.710999,38.567001,38.77,38.758396,427717000
2023/6/12,39.200001,39.529999,38.618,39.481998,39.470181,388701000
2023/6/13,40.186001,41.101002,39.740002,41.021999,41.009724,613208000
2023/6/14,40.824001,43,40.551998,42.997002,42.984131,740465000
2023/6/15,42.602001,43.289001,42.146999,42.653,42.640236,568622000
2023/6/16,43.450001,43.721001,42.660999,42.692001,42.679222,655709000
